x,y,z
0.0,0.0,0.0
0.0,0.05,0.014170646637533441
0.05,0.05,0.01722174349816526
0.1,0.05,0.020721521060613115
0.1,0.0,0.01705038569352917
0.1,0.05,0.020721521060613115
0.1,0.0,0.01705038569352917
0.05,0.0,0.014170647420775388
0.1,0.0,0.01705038569352917
0.1,0.05,0.020721521060613115
0.1,0.0,0.01705038569352917
0.1,0.05,0.020721521060613115
0.1,0.1,0.02493251625442382
0.15000000000000002,0.1,0.029700769322522563
0.10000000000000002,0.1,0.02493251625442382
0.10000000000000002,0.15000000000000002,0.029700765671472118
0.05000000000000002,0.15000000000000002,0.024684431539576432
0.05000000000000002,0.2,0.029112648712557962
0.10000000000000002,0.2,0.035028878676478976
0.10000000000000002,0.25,0.040901749095968776
0.15000000000000002,0.25,0.0487240598975511
0.15000000000000002,0.3,0.05632694136909729
0.10000000000000002,0.3,0.047284040518997754
0.10000000000000002,0.25,0.040901749095968776
0.10000000000000002,0.2,0.035028878676478976
0.10000000000000002,0.15000000000000002,0.029700765671472118
0.10000000000000002,0.2,0.035028878676478976
0.15000000000000002,0.2,0.041728024353791485
0.15000000000000002,0.15000000000000002,0.035380929104850405
0.15000000000000002,0.2,0.041728024353791485
0.2,0.2,0.049213753850531776
0.2,0.15000000000000002,0.04172803200270598
0.25,0.15000000000000002,0.04872408214790176
0.3,0.15000000000000002,0.056326990054551045
0.25,0.15000000000000002,0.04872408214790176
0.3,0.15000000000000002,0.056326990054551045
0.3,0.2,0.06643166456780945
0.35,0.2,0.07603353020862406
0.3,0.2,0.06643166456780945
0.25,0.2,0.05746484727119734
0.25,0.15000000000000002,0.04872408214790176
0.25,0.10000000000000002,0.04090177280628672
0.25,0.05000000000000002,0.033993638578214705
0.3,0.05000000000000002,0.039298007414566814
0.3,0.10000000000000002,0.04728408721279929
0.35,0.10000000000000002,0.054118410171554804
0.3,0.10000000000000002,0.04728408721279929
0.35,0.10000000000000002,0.054118410171554804
0.39999999999999997,0.10000000000000002,0.061324248617403
0.44999999999999996,0.10000000000000002,0.0687981390641095
0.44999999999999996,0.15000000000000002,0.08195552302070824
0.44999999999999996,0.2,0.09665778015664711
0.44999999999999996,0.25,0.11286322696595069
0.39999999999999997,0.25,0.10060232258348713
0.39999999999999997,0.2,0.08615735566119707
0.35,0.2,0.07603353020862406
0.35,0.15000000000000002,0.06446835144499796
0.35,0.10000000000000002,0.054118410171554804
0.39999999999999997,0.10000000000000002,0.061324248617403
0.44999999999999996,0.10000000000000002,0.0687981390641095
0.44999999999999996,0.15000000000000002,0.08195552302070824
0.49999999999999994,0.15000000000000002,0.0910290534982966
0.49999999999999994,0.2,0.10735903965931942
0.5499999999999999,0.2,0.11805867566098227
0.5499999999999999,0.25,0.1378521533577995
0.5499999999999999,0.2,0.11805867566098227
0.6,0.2,0.12853307485150048
0.5499999999999999,0.2,0.11805867566098227
0.6,0.2,0.12853307485150048
0.65,0.2,0.1385446964503868
0.65,0.15000000000000002,0.11747117513526371
0.65,0.2,0.1385446964503868
0.65,0.15000000000000002,0.11747117513526371
0.65,0.10000000000000002,0.09861200230057628
0.65,0.15000000000000002,0.11747117513526371
0.65,0.10000000000000002,0.09861200230057628
0.65,0.05000000000000002,0.08195685732608503
0.65,1.3877787807814457e-17,0.06743694254940147
0.65,-0.04999999999999999,0.05493732420758179
0.65,-0.09999999999999999,0.04430922854987104
0.65,-0.04999999999999999,0.05493732420758179
0.65,-0.09999999999999999,0.04430922854987104
0.6,-0.09999999999999999,0.041107321703508705
0.6,-0.15,0.03282486307586558
0.65,-0.15,0.03538163761891003
0.7000000000000001,-0.15,0.037758212707547464
0.7000000000000001,-0.09999999999999999,0.04728546752758718
0.7000000000000001,-0.04999999999999999,0.0586274495261523
0.7000000000000001,-0.09999999999999999,0.04728546752758718
0.7000000000000001,-0.15,0.037758212707547464
0.7000000000000001,-0.09999999999999999,0.04728546752758718
0.7000000000000001,-0.04999999999999999,0.0586274495261523
0.7000000000000001,1.3877787807814457e-17,0.07196666389613744
0.7000000000000001,0.05000000000000002,0.08746187749044423
0.7000000000000001,0.10000000000000002,0.10523574415805909
0.65,0.10000000000000002,0.09861200230057628
0.7000000000000001,0.10000000000000002,0.10523574415805909
0.7000000000000001,0.05000000000000002,0.08746187749044423
0.7000000000000001,0.10000000000000002,0.10523574415805909
0.7000000000000001,0.15000000000000002,0.1253616827093332
0.7500000000000001,0.15000000000000002,0.13245169212646132
0.7500000000000001,0.2,0.15621261568401815
0.7500000000000001,0.25,0.18240290681724963
0.7500000000000001,0.2,0.15621261568401815
0.7000000000000001,0.2,0.14785070704418976
0.7000000000000001,0.25,0.17263905706359267
0.7000000000000001,0.2,0.14785070704418976
0.7500000000000001,0.2,0.15621261568401815
0.7500000000000001,0.25,0.18240290681724963
0.7500000000000001,0.3,0.2108649823053037
0.7500000000000001,0.35,0.24134273610997836
0.7000000000000001,0.35,0.22842389266172775
0.7000000000000001,0.3,0.1995775846655788
0.7500000000000001,0.3,0.2108649823053037
0.7000000000000001,0.3,0.1995775846655788
0.7500000000000001,0.3,0.2108649823053037
0.7500000000000001,0.35,0.24134273610997836
0.7500000000000001,0.39999999999999997,0.2734771604733934
0.7500000000000001,0.35,0.24134273610997836
0.8000000000000002,0.35,0.25245686758521513
0.8000000000000002,0.39999999999999997,0.28607112480201946
0.7500000000000001,0.39999999999999997,0.2734771604733934
0.8000000000000002,0.39999999999999997,0.28607112480201946
0.8000000000000002,0.44999999999999996,0.32093562266872006
0.7500000000000001,0.44999999999999996,0.30680678285692065
0.7000000000000001,0.44999999999999996,0.29038370630286475
0.65,0.44999999999999996,0.27210638480929855
0.65,0.39999999999999997,0.2425464079696192
0.65,0.35,0.2140464472650663
0.7000000000000001,0.35,0.22842389266172775
0.7500000000000001,0.35,0.24134273610997836
0.8000000000000002,0.35,0.25245686758521513
0.8500000000000002,0.35,0.26145802266624746
0.9000000000000002,0.35,0.26809019255568045
0.9500000000000003,0.35,0.2721620390606979
0.9500000000000003,0.39999999999999997,0.3084000246397087
0.9500000000000003,0.44999999999999996,0.34598584783128705
0.9500000000000003,0.39999999999999997,0.3084000246397087
0.9000000000000002,0.39999999999999997,0.30378601205580974
0.9500000000000003,0.39999999999999997,0.3084000246397087
1.0000000000000002,0.39999999999999997,0.3099801780259509
1.0000000000000002,0.35,0.27355651328607516
1.0000000000000002,0.3,0.23901065867622623
1.0000000000000002,0.35,0.27355651328607516
0.9500000000000002,0.35,0.27216203906069786
0.9500000000000002,0.3,0.23779228801375418
1.0000000000000002,0.3,0.23901065867622623
1.0000000000000002,0.35,0.27355651328607516
0.9500000000000002,0.35,0.27216203906069786
1.0000000000000002,0.35,0.27355651328607516
1.0500000000000003,0.35,0.2722370531577094
1.0000000000000002,0.35,0.27355651328607516
1.0000000000000002,0.39999999999999997,0.3099801780259509
1.0000000000000002,0.44999999999999996,0.3477585917834504
1.0000000000000002,0.49999999999999994,0.38625926358867335
1.0000000000000002,0.5499999999999999,0.4247535932308357
1.0000000000000002,0.49999999999999994,0.38625926358867335
0.9500000000000002,0.49999999999999994,0.38429023845144633
0.9500000000000002,0.44999999999999996,0.345985847831287
1.0000000000000002,0.44999999999999996,0.3477585917834504
1.0000000000000002,0.49999999999999994,0.38625926358867335
